,product_name,product_price,product_availability,date,store,search_term,product_price_dollar
0,CREMA DE LECHE TACHIRA 250 G (UN),Bs. 19.74,True,24/08/2022,Plazas,leche,3.1424614355986433
1,CREMA DE LECHE TACHIRA 500 G (UN),Bs. 35.91,True,24/08/2022,Plazas,leche,5.716605377525192
2,CREMA DE LECHE SANTA MARIA 500G (UN),Bs. 34.68,True,24/08/2022,Plazas,leche,5.520798509957496
3,CREMA DE LECHE PREFERIDA 400G (UN),Bs. 38.06,True,24/08/2022,Plazas,leche,6.058869414330516
4,CREMA DE LECHE LA NATERA 450G (UN),Bs. 34.53,True,24/08/2022,Plazas,leche,5.496919623668752
5,LECHE COND BELLA HOLAND ORIG VEGET 397G (UN),Bs. 14.76,True,24/08/2022,Plazas,leche,2.3496824108123597
6,LECHE POLVO DESCREMAD CAMPESTRE SOB 900G (UN),Bs. 98.34,True,24/08/2022,Plazas,leche,15.654997850900235
7,LECHE POLVO CAMPESTRE EXTRA CALCIO 1KG (UN),Bs. 75.49,True,24/08/2022,Plazas,leche,12.017447506248308
8,LECHE SEMIDESCREMADA CAMPESTRE 450 GR,$ 6.33,True,24/08/2022,Gama,leche,6.33
9,LECHE CONDENSADA KALDINI 380 GR,$ 2.38,True,24/08/2022,Gama,leche,2.38
10,LECHE COMPLETA MILEX 1 LT,$ 2.07,True,24/08/2022,Gama,leche,2.07
11,CEREAL FLIPS DULCE DE LECHE 220 GR,$ 3.05,True,24/08/2022,Gama,leche,3.05
12,LECHE DESCREMADA UHT MI VACA 1 LT,$ 2.01,True,24/08/2022,Gama,leche,2.01
13,LECHE DESCREMADA UHT LA PASTOREÑA 1 LT,$ 1.85,True,24/08/2022,Gama,leche,1.85
14,LECHE COMPLETA UHT LA PASTOREÑA 1 LT,$ 2.07,True,24/08/2022,Gama,leche,2.07
15,CREMA DE LECHE SANTA MARÍA 250 GR,$ 3.40,True,24/08/2022,Gama,leche,3.4
16,CEREAL FLIPS DULCE DE LECHE 120 GR,$ 1.84,True,24/08/2022,Gama,leche,1.84
17,CHOCOLATE DE LECHE SAVOY 70 GR,$ 1.95,True,24/08/2022,Gama,leche,1.95
18,LECHE DESCREMADA POLVO CAMPESTRE 900 GR,$ 15.77,True,24/08/2022,Gama,leche,15.77
19,CHOCOLATE DE LECHE SAVOY 130 GR,$ 3.45,True,24/08/2022,Gama,leche,3.45
20,CREMA DE LECHE PAISA 500 GR,$ 5.72,True,24/08/2022,Gama,leche,5.72
21,LECHE COMPLETA EXTRA CALCIO CAMPESTRE 1 KG,$ 12.40,True,24/08/2022,Gama,leche,12.4
22,LECHE DESCREMADA UHT PURÍSIMA 1 LT,$ 1.94,True,24/08/2022,Gama,leche,1.94
23,CEREAL CON DULCE LECHE FLIPS 6 UN,$ 3.05,True,24/08/2022,Gama,leche,3.05
24,LECHE COMPLETA UHT PURISIMA 1 LT,$ 2.04,True,24/08/2022,Gama,leche,2.04
25,LECHE DESCREMADA DESLACTOSADA UHT PURISIMA 1 L,$ 2.12,True,24/08/2022,Gama,leche,2.12
26,LECHE CONDENSADA CAMPONESA EMBARE 395 GR,$ 2.24,True,24/08/2022,Gama,leche,2.24
27,LECHE SEMIDESCREMADA UHT BOLSA CAMPESTRE 1 LT,$ 1.59,True,24/08/2022,Gama,leche,1.59
28,LECHE CONDENSADA SLIM NESTLE 395 GR,$ 2.75,True,24/08/2022,Gama,leche,2.75
29,LECHE ENTERA ESTERILIZADA UHT CARABOBO 1 LT,$ 2.17,True,24/08/2022,Gama,leche,2.17
30,LECHE CONDENSADA AZUCARADA WEPA 395 GR,$ 2.71,True,24/08/2022,Gama,leche,2.71
31,CREMA DE LECHE NESTLE 300 GR,$ 2.74,True,24/08/2022,Gama,leche,2.74
32,LECHE ENTERA UHT CAMPESTRE BOLSA 1 LT,$ 1.56,True,24/08/2022,Gama,leche,1.56
33,LECHE COMPLETA POLVO ZULI MILK 500 GR,$ 7.73,True,24/08/2022,Gama,leche,7.73
34,LECHE DESCREMADA UHT PARMALAT 1 LT,$ 2.69,True,24/08/2022,Gama,leche,2.69
35,CREMA DE LECHE PARMALAT 200 ML,$ 1.64,True,24/08/2022,Gama,leche,1.64
36,LECHE CONDENSADA AZUCARADA PARMALAT 395 GR,$ 2.92,True,24/08/2022,Gama,leche,2.92
37,LECHE EN POLVO FORTICRECE NIDO 800 GR,$ 11.74,True,24/08/2022,Gama,leche,11.74
38,LECHE DESCREMADA UHT BOLSA CAMPESTRE 1 LT,$ 1.61,True,24/08/2022,Gama,leche,1.61
39,LECHE DESLACTOSADA SEMIDESCREMADA UHT ZYMIL 946 ML,$ 1.95,True,24/08/2022,Gama,leche,1.95
40,LECHE COMPLETA BOLSA UPACA 900 GR,$ 9.59,True,24/08/2022,Gama,leche,9.59
41,CREMA DE LECHE DAIRY SKY 170 GR,$ 2.46,True,24/08/2022,Gama,leche,2.46
42,LECHE EVAPORADA RED & WHITE 354 GR,$ 2.44,True,24/08/2022,Gama,leche,2.44
43,CHOCOLATE DE LECHE ST. MORITZ BARRA 500 GR,$ 8.00,True,24/08/2022,Gama,leche,8.0
44,CHOCOLATE DE LECHE SIN AZÚCAR ST MORITZ 100 GR,$ 2.67,True,24/08/2022,Gama,leche,2.67
45,CHOCOLATE DE LECHE SAVOY 12 UN X 30 GR,$ 11.14,True,24/08/2022,Gama,leche,11.14
46,GALLETA DE MANTEQUILLA CON LECHE RENATA133 GR,$ 0.52,True,24/08/2022,Gama,leche,0.52
47,LECHE SEMI DESCREMADA EN POLVO CAMPESTRE 900 GR,$ 11.83,True,24/08/2022,Gama,leche,11.83
48,LECHE EN POLVO SEMI DESCREMADA LA CAMPIÑA 900 GR,$ 10.50,True,24/08/2022,Gama,leche,10.5
49,LECHE COMPLETA EN BOLSA LA CAMPIÑA 900 GR,$ 10.62,True,24/08/2022,Gama,leche,10.62
50,LECHE DESCREMADA DESLACTOSADA UHT LA PASTOREÑA 1 LT,$ 2.09,True,24/08/2022,Gama,leche,2.09
51,JABON MULTICARE MIEL CON LECHE DALAN 75 GR,$ 0.60,True,24/08/2022,Gama,leche,0.6
52,LECHE EN  POLVO COMPLETA LA CAMPIÑA 500 GR,$ 6.56,True,24/08/2022,Gama,leche,6.56
53,LECHE DESCREMADA LIGHT UHT SAN SIMON 1 LT,$ 1.93,True,24/08/2022,Gama,leche,1.93
54,"CHOCOLATE DE LECHE M&M's 47,9 GR",$ 1.58,True,24/08/2022,Gama,leche,1.58
55,LECHE DE ALMENDRAS SIN AZUCAR KIRKLAND 946 ML,$ 3.63,True,24/08/2022,Gama,leche,3.63
56,LECHE EN POLVO SEMIDESCREMADA SAN SIMON 400 GR,$ 5.23,True,24/08/2022,Gama,leche,5.23
57,JABON EN BARRA CON LECHE DE COCO DOVE 90 GR,$ 1.13,True,24/08/2022,Gama,leche,1.13
58,LECHE EN POLVO CON HIERRO LA CAMPESINA 800 GR,$ 10.40,True,24/08/2022,Gama,leche,10.4
59,LECHE COMPLETA EN BOLSA LA CAMPESTRE 900 GR,$ 10.53,True,24/08/2022,Gama,leche,10.53
60,LECHE EN POLVO BOLSA HOLLAND HORIZON 900 GR,$ 11.71,True,24/08/2022,Gama,leche,11.71
61,LECHE EN POLVO DESCREMADA DAIRY SKY 400 GR,$ 4.93,True,24/08/2022,Gama,leche,4.93
62,LECHE DE ALMENDRAS SIN AZÚCAR VILAY 1 LT,$ 4.84,True,24/08/2022,Gama,leche,4.84
63,LECHE DE ALMENDRAS SABOR CHOCOLATE VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
